Room #1, center [1.58, 6.86], color [B: 217, G: 85, R: 91]
Room #2, center [7.16, 6.54], color [B: 91, G: 185, R: 127]
Room #3, center [4.28, 5.62], color [B: 43, G: 187, R: 108]
Room #4, center [0.62, 4.74], color [B: 196, G: 7, R: 180]
Room #5, center [5.94, 5.18], color [B: 169, G: 138, R: 163]
Room #6, center [2.16, 3.22], color [B: 99, G: 173, R: 160]
Room #7, center [4.94, 4.06], color [B: 10, G: 87, R: 211]
Room #8, center [4.68, 2.88], color [B: 93, G: 88, R: 207]
Room #9, center [4.28, 2.12], color [B: 52, G: 214, R: 123]
