Room #1, center [4.54, 9.86], color [B: 236, G: 44, R: 69]
Room #2, center [4, 6], color [B: 179, G: 144, R: 12]
Room #3, center [7.42, 9.7], color [B: 179, G: 30, R: 27]
Room #4, center [1, 8.88], color [B: 155, G: 194, R: 14]
Room #5, center [8.16, 5.74], color [B: 114, G: 39, R: 107]
Room #6, center [0.18, 6.24], color [B: 91, G: 155, R: 69]
Room #7, center [1.26, 4.98], color [B: 129, G: 189, R: 120]
Room #8, center [2.2, 2.36], color [B: 168, G: 168, R: 247]
Room #9, center [7, 2], color [B: 75, G: 244, R: 221]
